ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000852.SH,20200102,5603.9331,5682.6426,5586.1399,5676.5579,5567.033,109.5249,1.9674,178712563.0,176874948.019
000852.SH,20200103,5685.0849,5717.5054,5667.7417,5706.0438,5676.5579,29.4859,0.5194,179006818.0,178295040.891
000852.SH,20200106,5686.1612,5803.8619,5670.343,5764.7334,5706.0438,58.6896,1.0286,208487509.0,203211064.767
000852.SH,20200107,5772.6649,5852.3609,5772.6649,5852.3609,5764.7334,87.6275,1.5201,203440347.0,201537254.68
000852.SH,20200108,5827.3803,5858.8716,5759.3335,5772.4742,5852.3609,-79.8867,-1.365,218974060.0,213888094.699
000852.SH,20200109,5815.7396,5864.1821,5815.7396,5864.1821,5772.4742,91.7079,1.5887,186388460.0,187336849.364
000852.SH,20200110,5879.2137,5885.3312,5824.6524,5851.8928,5864.1821,-12.2893,-0.2096,169185946.0,173850556.719
000852.SH,20200113,5844.9636,5926.7222,5822.4232,5926.7222,5851.8928,74.8294,1.2787,160728794.0,172362974.861
000852.SH,20200114,5939.9026,5948.0429,5911.693,5914.1131,5926.7222,-12.6091,-0.2127,176822328.0,184340199.175
000852.SH,20200115,5903.7635,5920.0849,5859.1131,5913.518,5914.1131,-0.5951,-0.0101,160084737.0,165877789.555
000852.SH,20200116,5917.2317,5934.173,5892.7303,5902.1318,5913.518,-11.3862,-0.1925,147953859.0,162778573.69
000852.SH,20200117,5913.7922,5927.5366,5869.1739,5879.4121,5902.1318,-22.7197,-0.3849,142819686.0,157111565.03
000852.SH,20200120,5880.1327,5954.891,5862.1437,5954.8668,5879.4121,75.4547,1.2834,148360279.0,167625390.987
000852.SH,20200121,5951.9985,5951.9985,5901.0014,5901.8587,5954.8668,-53.0081,-0.8902,156332321.0,172604389.451
000852.SH,20200122,5867.2178,5942.1077,5784.6801,5919.587,5901.8587,17.7283,0.3004,162728303.0,180180672.739
000852.SH,20200123,5852.2033,5897.8997,5643.8412,5699.0083,5919.587,-220.5787,-3.7263,184762621.0,199558188.298
000852.SH,20200203,5180.5868,5227.0713,5179.2568,5200.1624,5699.0083,-498.8459,-8.7532,84416544.0,82967244.446
000852.SH,20200204,4923.1872,5234.2523,4923.1872,5212.1,5200.1624,11.9376,0.2296,238201147.0,217391387.299
000852.SH,20200205,5242.3292,5414.764,5242.3292,5348.3408,5212.1,136.2408,2.6139,207940041.0,211215505.958
000852.SH,20200206,5353.1888,5538.9364,5326.2112,5515.6411,5348.3408,167.3003,3.1281,218481717.0,221846850.782
000852.SH,20200207,5535.1292,5588.7663,5472.8651,5583.5955,5515.6411,67.9544,1.232,226928728.0,234210907.572
000852.SH,20200210,5586.9484,5662.422,5567.0504,5661.5621,5583.5955,77.9666,1.3964,218068133.0,225934645.91
000852.SH,20200211,5656.5222,5666.7273,5590.8892,5623.2586,5661.5621,-38.3035,-0.6766,188157880.0,190484765.963
000852.SH,20200212,5605.9308,5754.2577,5602.3037,5754.2577,5623.2586,130.9991,2.3296,202279086.0,212220811.03
000852.SH,20200213,5758.9153,5782.5655,5690.0052,5707.5326,5754.2577,-46.7251,-0.812,221916197.0,234650257.291
000852.SH,20200214,5696.1042,5783.6377,5677.7851,5727.8291,5707.5326,20.2965,0.3556,199679955.0,213876159.031
000852.SH,20200217,5766.5457,5936.4827,5766.5457,5936.4827,5727.8291,208.6536,3.6428,228914794.0,242894906.805
000852.SH,20200218,5948.6491,6072.1933,5940.6211,6072.1933,5936.4827,135.7106,2.286,254099391.0,275800965.332
000852.SH,20200219,6058.6942,6113.8677,6018.0505,6018.0505,6072.1933,-54.1428,-0.8917,259320330.0,289044889.829
000852.SH,20200220,6032.3978,6135.3506,5979.0539,6134.388,6018.0505,116.3375,1.9331,248953942.0,271785954.512
000852.SH,20200221,6141.7923,6278.4817,6136.0843,6243.4783,6134.388,109.0903,1.7783,277767258.0,310673738.092
000852.SH,20200224,6254.3208,6399.2959,6236.0866,6380.4145,6243.4783,136.9362,2.1933,298299514.0,343773410.543
000852.SH,20200225,6233.5245,6420.3462,6096.1462,6407.1434,6380.4145,26.7289,0.4189,348239766.0,395393684.965
000852.SH,20200226,6315.331,6388.0632,6200.2552,6221.835,6407.1434,-185.3084,-2.8922,327093035.0,348120245.542
000852.SH,20200227,6254.3937,6321.116,6135.9539,6232.089,6221.835,10.254,0.1648,268029216.0,282370521.85
000852.SH,20200228,5999.2136,6091.6936,5870.9092,5870.9664,6232.089,-361.1226,-5.7946,284615928.0,287562561.996
000852.SH,20200302,5946.8329,6143.7279,5931.04,6113.4111,5870.9664,242.4447,4.1296,245865457.0,253459829.41
000852.SH,20200303,6225.9628,6322.2748,6132.7096,6195.8915,6113.4111,82.4804,1.3492,294093196.0,307524313.165
000852.SH,20200304,6146.7657,6231.64,6101.0522,6226.533,6195.8915,30.6415,0.4945,254454054.0,255394345.474
000852.SH,20200305,6312.4329,6327.5363,6248.9768,6315.8349,6226.533,89.3019,1.4342,296079776.0,291549028.795
000852.SH,20200306,6236.2564,6344.0774,6225.7049,6296.7385,6315.8349,-19.0964,-0.3024,266263128.0,254972181.157
000852.SH,20200309,6198.1974,6239.2541,6049.6211,6049.6211,6296.7385,-247.1174,-3.9245,287184490.0,282561225.684
000852.SH,20200310,5965.3638,6206.408,5902.3874,6206.408,6049.6211,156.7869,2.5917,285396200.0,281697179.89
000852.SH,20200311,6219.9277,6268.939,6122.9093,6122.9093,6206.408,-83.4987,-1.3454,264576806.0,263523061.378
000852.SH,20200312,6026.0591,6071.6244,5938.9256,5999.6395,6122.9093,-123.2698,-2.0133,219646037.0,213040444.575
000852.SH,20200313,5681.5876,5999.7687,5681.5876,5945.4645,5999.6395,-54.175,-0.903,251191641.0,242885912.82
000852.SH,20200316,5999.5444,6007.2598,5638.3877,5657.7747,5945.4645,-287.6898,-4.8388,246604652.0,242635524.305
000852.SH,20200317,5707.4161,5756.2011,5436.5998,5642.9188,5657.7747,-14.8559,-0.2626,207157724.0,196893927.135
000852.SH,20200318,5702.1729,5804.3007,5556.1082,5556.1082,5642.9188,-86.8106,-1.5384,205114829.0,208457587.163
000852.SH,20200319,5552.5087,5641.0383,5453.0388,5617.1948,5556.1082,61.0866,1.0994,190815761.0,188376962.928
000852.SH,20200320,5676.9674,5688.9471,5574.6173,5670.471,5617.1948,53.2762,0.9484,172744000.0,174169396.391
000852.SH,20200323,5514.9258,5575.5314,5398.9506,5416.5708,5670.471,-253.9002,-4.4776,170338393.0,164487504.595
000852.SH,20200324,5522.1784,5535.933,5344.4175,5517.2552,5416.5708,100.6844,1.8588,175452306.0,170351799.546
000852.SH,20200325,5632.408,5652.4337,5589.9557,5646.6252,5517.2552,129.37,2.3448,182114811.0,173826281.07
000852.SH,20200326,5606.6345,5666.1258,5582.9295,5595.4333,5646.6252,-51.1919,-0.9066,165999234.0,156197376.317
000852.SH,20200327,5659.5895,5665.6227,5550.5353,5553.6122,5595.4333,-41.8211,-0.7474,154391842.0,148738322.872
