ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
BK0737.DC,20200102,749.04,767.92,747.13,766.88,743.1899999999999,23.69,3.19,33829659.0,52762207488.0
BK0737.DC,20200103,769.04,777.19,767.36,775.75,766.88,8.87,1.16,32642160.0,49756577536.0
BK0737.DC,20200106,771.51,790.44,768.5,783.64,775.75,7.89,1.02,38336620.0,59982165760.0
BK0737.DC,20200107,785.58,805.06,784.95,805.06,783.64,21.42,2.73,37818175.0,62151231488.0
BK0737.DC,20200108,799.9,805.52,789.17,790.53,805.06,-14.53,-1.8,38847888.0,59047013888.0
BK0737.DC,20200109,800.92,817.7,800.92,817.47,790.53,26.94,3.41,41558415.0,66915575040.0
BK0737.DC,20200110,822.42,823.72,810.36,814.86,817.47,-2.61,-0.32,35515289.0,58336188160.0
BK0737.DC,20200113,811.44,826.9,809.06,826.9,814.86,12.04,1.48,33349024.0,56867578368.0
BK0737.DC,20200114,828.61,828.97,822.15,822.42,826.9,-4.48,-0.54,33819946.0,57465254400.0
BK0737.DC,20200115,820.64,829.77,819.1,827.49,822.42,5.07,0.62,35306185.0,56192192768.0
BK0737.DC,20200116,827.25,834.05,825.92,830.34,827.49,2.85,0.34,35866731.0,58801118720.0
BK0737.DC,20200117,834.67,845.66,833.17,836.76,830.34,6.42,0.77,36302733.0,62233385728.0
BK0737.DC,20200120,835.72,843.55,824.63,843.07,836.7600000000001,6.31,0.75,34814050.0,60716848128.0
BK0737.DC,20200121,837.93,838.48,825.35,825.35,843.07,-17.72,-2.1,31064268.0,53848525312.0
BK0737.DC,20200122,815.76,837.37,808.59,833.35,825.35,8.0,0.97,32772760.0,55360175616.0
BK0737.DC,20200123,819.33,830.58,790.24,799.32,833.35,-34.03,-4.08,36100836.0,63366977280.0
BK0737.DC,20200203,720.01,729.82,720.01,722.84,799.32,-76.48,-9.57,12389139.0,26694835200.0
BK0737.DC,20200204,681.99,735.96,681.99,733.51,722.84,10.67,1.48,45558328.0,67466658816.0
BK0737.DC,20200205,737.79,771.26,737.79,758.59,733.51,25.08,3.42,42073536.0,69904756736.0
BK0737.DC,20200206,762.48,795.02,760.41,792.75,758.59,34.16,4.5,45539113.0,74434785280.0
BK0737.DC,20200207,799.69,826.04,797.45,826.04,792.75,33.29,4.2,51031900.0,85539921920.0
BK0737.DC,20200210,830.89,837.72,813.08,827.68,826.04,1.64,0.2,45459336.0,79421952000.0
BK0737.DC,20200211,828.35,829.16,810.46,815.03,827.68,-12.65,-1.53,35369765.0,60299557632.0
BK0737.DC,20200212,811.65,844.56,811.37,844.38,815.03,29.35,3.6,42133682.0,77502713856.0
BK0737.DC,20200213,844.61,850.72,830.9,835.28,844.38,-9.1,-1.08,43843210.0,82431356928.0
BK0737.DC,20200214,831.09,850.24,824.26,833.15,835.28,-2.13,-0.26,38632089.0,72533721088.0
BK0737.DC,20200217,841.34,869.76,841.22,869.76,833.15,36.61,4.39,44502810.0,79260246016.0
BK0737.DC,20200218,870.98,896.04,870.01,896.04,869.76,26.28,3.02,50247519.0,89016053760.0
BK0737.DC,20200219,891.21,896.64,878.27,878.27,896.04,-17.77,-1.98,45595748.0,84281503744.0
BK0737.DC,20200220,880.87,896.95,867.35,895.7,878.2700000000001,17.43,1.98,45969464.0,86505201664.0
BK0737.DC,20200221,896.31,936.14,896.31,923.97,895.7,28.27,3.16,59040888.0,111057772544.0
BK0737.DC,20200224,927.0,957.54,924.81,952.09,923.97,28.12,3.04,60891284.0,114662912000.0
BK0737.DC,20200225,925.5,952.92,897.16,950.43,952.0899999999999,-1.66,-0.17,65946998.0,124660789248.0
BK0737.DC,20200226,931.19,943.41,903.75,907.7,950.4300000000001,-42.73,-4.5,58984095.0,109758054400.0
BK0737.DC,20200227,911.86,936.28,892.25,920.49,907.7,12.79,1.41,52708544.0,107048755200.0
BK0737.DC,20200228,879.23,896.91,854.56,855.38,920.49,-65.11,-7.07,51997345.0,99641278464.0
BK0737.DC,20200302,868.59,898.2,860.13,893.34,855.38,37.96,4.44,43757059.0,87900463104.0
BK0737.DC,20200303,912.65,943.21,902.08,912.99,893.34,19.65,2.2,56277325.0,114155888640.0
BK0737.DC,20200304,907.69,926.33,895.51,918.08,912.99,5.09,0.56,48404877.0,95573659648.0
BK0737.DC,20200305,937.81,941.39,908.5,918.79,918.0799999999999,0.71,0.08,48654305.0,94158389248.0
BK0737.DC,20200306,904.19,915.05,900.12,906.9,918.79,-11.89,-1.29,39353397.0,67699158016.0
BK0737.DC,20200309,887.17,891.09,853.28,853.28,906.9,-53.62,-5.91,43706685.0,77631823872.0
BK0737.DC,20200310,843.64,891.0,841.71,891.0,853.28,37.72,4.42,42297861.0,77542105088.0
BK0737.DC,20200311,895.38,905.67,872.36,872.57,891.0,-18.43,-2.07,40021595.0,71419547648.0
BK0737.DC,20200312,855.67,869.07,848.62,859.88,872.57,-12.69,-1.45,30993194.0,56766759680.0
BK0737.DC,20200313,813.5,865.66,813.48,858.64,859.88,-1.24,-0.14,38032689.0,69325754368.0
BK0737.DC,20200316,866.23,869.34,805.19,809.12,858.64,-49.52,-5.77,38290987.0,68873482240.0
BK0737.DC,20200317,822.13,828.0,783.78,818.97,809.12,9.85,1.22,32560552.0,59227492096.0
BK0737.DC,20200318,827.57,846.64,808.05,808.05,818.9699999999999,-10.92,-1.33,38077525.0,68809105408.0
BK0737.DC,20200319,808.24,829.88,797.83,826.6,808.0500000000001,18.55,2.3,36537848.0,63428139776.0
BK0737.DC,20200320,835.21,838.32,816.24,830.53,826.6,3.93,0.48,32603466.0,57029597440.0
BK0737.DC,20200323,805.22,817.53,786.21,789.87,830.53,-40.66,-4.9,30328518.0,51204057600.0
BK0737.DC,20200324,808.2,815.73,781.46,812.06,789.8699999999999,22.19,2.81,35745805.0,57495323648.0
BK0737.DC,20200325,829.41,831.56,817.87,826.12,812.0600000000001,14.06,1.73,33358575.0,54301798912.0
BK0737.DC,20200326,819.35,828.43,812.49,814.18,826.12,-11.94,-1.45,27564857.0,45761698304.0
BK0737.DC,20200327,823.33,824.93,799.59,800.23,814.1800000000001,-13.95,-1.71,26336928.0,46778737920.0
BK0737.DC,20200330,784.24,784.24,755.75,763.66,800.23,-36.57,-4.57,26167313.0,44222372608.0
BK0737.DC,20200331,772.51,774.42,755.34,755.86,763.66,-7.8,-1.02,21230706.0,34383841280.0
BK0737.DC,20200401,753.36,769.13,749.63,753.12,755.86,-2.74,-0.36,21596944.0,34480760576.0
BK0737.DC,20200402,751.37,782.98,750.63,782.98,753.12,29.86,3.96,24561088.0,41980476928.0
BK0737.DC,20200403,781.84,783.03,766.48,770.23,782.98,-12.75,-1.63,22083314.0,36731986432.0
BK0737.DC,20200407,788.41,804.88,788.41,804.49,770.23,34.26,4.45,29306644.0,48377433344.0
BK0737.DC,20200408,804.51,813.49,802.61,808.9,804.49,4.41,0.55,32524706.0,46924254976.0
BK0737.DC,20200409,815.49,826.02,815.14,824.73,808.9,15.83,1.96,35423985.0,54448937472.0
BK0737.DC,20200410,821.14,821.14,787.02,789.75,824.73,-34.98,-4.24,33445774.0,52406878208.0
BK0737.DC,20200413,782.53,782.53,768.52,773.66,789.75,-16.09,-2.04,25333952.0,35327221504.0
BK0737.DC,20200414,778.88,794.05,778.88,794.05,773.66,20.39,2.64,26404500.0,39572832512.0
BK0737.DC,20200415,795.57,800.36,787.59,787.79,794.05,-6.26,-0.79,27502775.0,43251694080.0
BK0737.DC,20200416,783.79,805.79,781.71,803.54,787.79,15.75,2.0,29693245.0,44641849088.0
BK0737.DC,20200417,809.29,818.19,802.07,802.64,803.54,-0.9,-0.11,34634163.0,55324863744.0
